method,availability_design,name,team,position,value,raw_forecast,starting_probability,adjusted_cost,role,is_captain,is_vice_captain
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Jakub Kiwior,Arsenal,DEF,4.3,4.42838207362497,0.2857142857142857,4.42838207362497,XI,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Jarrad Branthwaite,Everton,DEF,4.2,2.9229890028211716,0.8571428571428571,2.9229890028211716,Bench,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Jordan Pickford,Everton,GK,4.6,3.729964038008132,0.9642857142857143,3.729964038008132,Bench,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Kieran Trippier,Newcastle,DEF,6.9,4.053769695113634,0.8928571428571429,4.053769695113634,XI,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Mohamed Salah,Liverpool,MID,13.0,6.472523981111602,0.75,6.472523981111602,XI,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Ollie Watkins,Aston Villa,FWD,8.8,6.530840568507672,0.9642857142857143,6.530840568507672,XI,False,True
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Pedro Porro,Spurs,DEF,5.8,4.081124152507548,0.8571428571428571,4.081124152507548,XI,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Phil Foden,Man City,MID,8.1,5.363630134559094,0.8571428571428571,5.363630134559094,XI,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Son Heung-min,Spurs,MID,9.6,5.763018581069041,0.7857142857142857,5.763018581069041,XI,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Đorđe Petrović,Chelsea,GK,4.5,4.160060006624626,0.21428571428571427,4.160060006624626,XI,False,False
"ARIMA(1,0,1)",Expected availability,André Onana,Man Utd,GK,4.8,3.720040124205935,0.9642857142857143,3.5871815483414373,Bench,False,False
"ARIMA(1,0,1)",Expected availability,Bukayo Saka,Arsenal,MID,9.1,6.975393294884185,0.9285714285714286,6.477150916678172,XI,True,False
"ARIMA(1,0,1)",Expected availability,Cameron Archer,Sheffield Utd,FWD,4.3,3.046040620163375,0.6071428571428571,1.8493818050991917,Bench,False,False
"ARIMA(1,0,1)",Expected availability,Dominic Solanke,Bournemouth,FWD,7.0,4.945389090754579,0.9285714285714286,4.592147012843538,XI,False,False
"ARIMA(1,0,1)",Expected availability,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,4.752072515529853,0.9285714285714286,4.412638764420578,XI,False,False
"ARIMA(1,0,1)",Expected availability,Emerson Palmieri dos Santos,West Ham,DEF,4.4,3.2575699509156717,0.8928571428571429,2.90854459903185,Bench,False,False
"ARIMA(1,0,1)",Expected availability,Jarrad Branthwaite,Everton,DEF,4.2,2.9229890028211716,0.8571428571428571,2.50541914527529,Bench,False,False
"ARIMA(1,0,1)",Expected availability,Jarrod Bowen,West Ham,MID,7.7,4.947683636157299,0.9285714285714286,4.594277662146063,XI,False,False
"ARIMA(1,0,1)",Expected availability,Jordan Pickford,Everton,GK,4.6,3.729964038008132,0.9642857142857143,3.5967510366506987,XI,False,False
"ARIMA(1,0,1)",Expected availability,Kieran Trippier,Newcastle,DEF,6.9,4.053769695113634,0.8928571428571429,3.619437227780031,XI,False,False
"ARIMA(1,0,1)",Expected availability,Mohamed Salah,Liverpool,MID,13.0,6.472523981111602,0.75,4.854392985833702,XI,False,False
"ARIMA(1,0,1)",Expected availability,Ollie Watkins,Aston Villa,FWD,8.8,6.530840568507672,0.9642857142857143,6.297596262489541,XI,False,True
"ARIMA(1,0,1)",Expected availability,Pedro Porro,Spurs,DEF,5.8,4.081124152507548,0.8571428571428571,3.498106416435041,XI,False,False
"ARIMA(1,0,1)",Expected availability,Phil Foden,Man City,MID,8.1,5.363630134559094,0.8571428571428571,4.597397258193509,XI,False,False
"ARIMA(1,0,1)",Expected availability,William Saliba,Arsenal,DEF,5.7,3.846371829487311,0.9642857142857143,3.7090014070056214,XI,False,False
"ARIMA(1,0,1)",Availability robust,André Onana,Man Utd,GK,4.8,3.720040124205935,0.9642857142857143,3.242004842913606,Bench,False,False
"ARIMA(1,0,1)",Availability robust,Anthony Gordon,Newcastle,MID,6.1,4.808034328554537,0.8928571428571429,3.549337816424429,Bench,False,False
"ARIMA(1,0,1)",Availability robust,Bukayo Saka,Arsenal,MID,9.1,6.975393294884185,0.9285714285714286,5.578931695562721,XI,False,True
"ARIMA(1,0,1)",Availability robust,Dominic Solanke,Bournemouth,FWD,7.0,4.945389090754579,0.9285714285714286,3.955330800563686,XI,False,False
"ARIMA(1,0,1)",Availability robust,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,4.752072515529853,0.9285714285714286,3.800715867296791,XI,False,False
"ARIMA(1,0,1)",Availability robust,Fabian Schär,Newcastle,DEF,5.4,3.2530182537668293,0.9642857142857143,2.834996553981953,Bench,False,False
"ARIMA(1,0,1)",Availability robust,Jarrod Bowen,West Ham,MID,7.7,4.947683636157299,0.9285714285714286,3.9571659819696614,XI,False,False
"ARIMA(1,0,1)",Availability robust,Joachim Andersen,Crystal Palace,DEF,4.7,3.290620851883028,0.9642857142857143,2.867767115892189,XI,False,False
"ARIMA(1,0,1)",Availability robust,Jordan Pickford,Everton,GK,4.6,3.729964038008132,0.9642857142857143,3.2506535067809743,XI,False,False
"ARIMA(1,0,1)",Availability robust,Julián Álvarez,Man City,FWD,6.7,4.861613841494203,0.8928571428571429,3.5888907352405335,XI,False,False
"ARIMA(1,0,1)",Availability robust,Kieran Trippier,Newcastle,DEF,6.9,4.053769695113634,0.8928571428571429,2.992532310447905,XI,False,False
"ARIMA(1,0,1)",Availability robust,Ollie Watkins,Aston Villa,FWD,8.8,6.530840568507672,0.9642857142857143,5.691609779590221,XI,True,False
"ARIMA(1,0,1)",Availability robust,Pedro Porro,Spurs,DEF,5.8,4.081124152507548,0.8571428571428571,2.784058434249903,Bench,False,False
"ARIMA(1,0,1)",Availability robust,Phil Foden,Man City,MID,8.1,5.363630134559094,0.8571428571428571,3.6589574725731335,XI,False,False
"ARIMA(1,0,1)",Availability robust,William Saliba,Arsenal,DEF,5.7,3.846371829487311,0.9642857142857143,3.3521025802123887,XI,False,False
