method,solution_id,policy,realized_points,mean_weekly_points,total_autosubs,substitute_points,total_planned_absences,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=70",static,724.0,60.333333333333336,11,47.0,22,"Two-stage actual remainder, XI cap £70m",Two-stage,70.0,actual_remainder,,,False,59.29451503365866,16.498311080601233,70.0,27.300000000000004,97.30000000000001,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=75",sequential,766.0,63.833333333333336,17,46.0,25,"Two-stage actual remainder, XI cap £75m",Two-stage,75.0,actual_remainder,,,False,60.764468531754225,15.850297886969209,75.0,24.900000000000002,99.9,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=75",static,771.0,64.25,11,56.0,19,"Two-stage actual remainder, XI cap £75m",Two-stage,75.0,actual_remainder,,,False,60.764468531754225,15.850297886969209,75.0,24.900000000000002,99.9,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=80",sequential,714.0,59.5,17,38.0,25,"Two-stage actual remainder, XI cap £80m",Two-stage,80.0,actual_remainder,,,False,61.94928185318081,14.969920973619113,79.69999999999999,20.3,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=80",static,716.0,59.666666666666664,19,51.0,27,"Two-stage actual remainder, XI cap £80m",Two-stage,80.0,actual_remainder,,,False,61.94928185318081,14.969920973619113,79.69999999999999,20.3,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=83.5",sequential,665.0,55.416666666666664,16,53.0,27,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=83.5",static,666.0,55.5,15,50.0,26,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=55",sequential,683.0,56.916666666666664,16,21.0,27,"Two-stage fixed allocation, XI cap £55m",Two-stage,55.0,fixed_split,,,False,47.51680128036821,18.16968421209245,55.0,26.499999999999996,81.5,3-4-3,Cole Palmer,Anthony Gordon
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=55",static,679.0,56.583333333333336,14,77.0,25,"Two-stage fixed allocation, XI cap £55m",Two-stage,55.0,fixed_split,,,False,47.51680128036821,18.16968421209245,55.0,26.499999999999996,81.5,3-4-3,Cole Palmer,Anthony Gordon
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=60",sequential,702.0,58.5,16,60.0,24,"Two-stage fixed allocation, XI cap £60m",Two-stage,60.0,fixed_split,,,False,52.99427170538875,18.16968421209245,60.0,26.499999999999996,86.5,3-4-3,Ollie Watkins,Cole Palmer
