series,name,team,position,value,role,is_captain,is_vice_captain,xi_cap,xi_spend,bench_spend,total_spend
Monte Carlo Simulation,Mohamed Salah,Liverpool,MID,13.0,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Monte Carlo Simulation,Ollie Watkins,Aston Villa,FWD,8.8,XI,True,False,83.5,83.39999999999999,16.5,99.89999999999999
Monte Carlo Simulation,Phil Foden,Man City,MID,8.1,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Monte Carlo Simulation,Son Heung-min,Spurs,MID,9.6,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Monte Carlo Simulation,William Saliba,Arsenal,DEF,5.7,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Monte Carlo Simulation,Đorđe Petrović,Chelsea,GK,4.5,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Monte Carlo Simulation,Alphonse Areola,West Ham,GK,4.2,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Monte Carlo Simulation,Amari'i Bell,Luton,DEF,3.9,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Monte Carlo Simulation,Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Monte Carlo Simulation,Conor Bradley,Liverpool,DEF,4.1,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
Exponential Smoothing,Bukayo Saka,Arsenal,MID,9.1,XI,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Chris Richards,Crystal Palace,DEF,3.9,XI,True,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Cole Palmer,Chelsea,MID,5.8,XI,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Daniel Muñoz,Crystal Palace,DEF,4.5,XI,False,True,83.5,66.4,16.5,82.9
Exponential Smoothing,Ederson Santana de Moraes,Man City,GK,5.5,XI,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Jakub Kiwior,Arsenal,DEF,4.3,XI,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Lewis Dunk,Brighton,DEF,5.1,XI,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Luis Díaz,Liverpool,MID,7.5,XI,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Rasmus Højlund,Man Utd,FWD,7.2,XI,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Richarlison de Andrade,Spurs,MID,7.2,XI,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Taiwo Awoniyi,Nott'm Forest,FWD,6.3,XI,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Ameen Al-Dakhil,Burnley,DEF,3.8,Bench,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Caoimhin Kelleher,Liverpool,GK,3.7,Bench,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Cesare Casadei,Chelsea,MID,4.5,Bench,False,False,83.5,66.4,16.5,82.9
Exponential Smoothing,Jayden Danns,Liverpool,FWD,4.5,Bench,False,False,83.5,66.4,16.5,82.9
Robust Simple Avg.,Adam Wharton,Crystal Palace,MID,5.0,XI,False,True,83.5,67.8,16.5,84.3
Robust Simple Avg.,Antonee Robinson,Fulham,DEF,4.5,XI,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Bukayo Saka,Arsenal,MID,9.1,XI,True,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,James Ward-Prowse,West Ham,MID,6.0,XI,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Julián Álvarez,Man City,FWD,6.7,XI,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Ollie Watkins,Aston Villa,FWD,8.8,XI,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Pedro Porro,Spurs,DEF,5.8,XI,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Thomas Kaminski,Luton,GK,4.5,XI,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Timo Werner,Spurs,FWD,6.4,XI,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Vitaly Janelt,Brentford,MID,5.3,XI,False,False,83.5,67.8,16.5,84.3
