method,solution_id,policy,realized_points,mean_weekly_points,total_autosubs,substitute_points,total_planned_absences,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.050",sequential,718.0,59.833333333333336,10,46.0,19,Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,True,61.488049506382794,18.515977934867863,73.7,26.3,100.0,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.050",static,714.0,59.5,10,54.0,19,Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,True,61.488049506382794,18.515977934867863,73.7,26.3,100.0,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=83.5",sequential,761.0,63.416666666666664,14,47.0,28,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,64.72332019702876,13.039059224810567,82.89999999999999,17.0,99.89999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=83.5",static,737.0,61.416666666666664,18,75.0,32,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,64.72332019702876,13.039059224810567,82.89999999999999,17.0,99.89999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=83.5",sequential,712.0,59.333333333333336,19,66.0,34,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,64.72332019702876,12.32380019692485,82.89999999999999,16.5,99.39999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=83.5",static,717.0,59.75,17,55.0,32,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,64.72332019702876,12.32380019692485,82.89999999999999,16.5,99.39999999999999,3-5-2,Bukayo Saka,Ollie Watkins
Simple average,Simple average | joint_pareto | delta=0.000,sequential,618.0,51.5,15,39.0,29,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,62.90769230769231,10.326923076923077,83.39999999999999,16.6,100.0,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | joint_pareto | delta=0.000,static,625.0,52.083333333333336,12,30.0,26,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,62.90769230769231,10.326923076923077,83.39999999999999,16.6,100.0,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | joint_pareto | delta=0.020,sequential,692.0,57.666666666666664,14,43.0,24,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,61.65692307692308,15.384615384615387,78.7,21.1,99.80000000000001,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | joint_pareto | delta=0.020,static,660.0,55.0,18,71.0,28,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,61.65692307692308,15.384615384615387,78.7,21.1,99.80000000000001,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,sequential,618.0,51.5,15,39.0,29,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,62.90769230769231,10.326923076923077,83.39999999999999,16.6,100.0,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,static,625.0,52.083333333333336,12,30.0,26,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,62.90769230769231,10.326923076923077,83.39999999999999,16.6,100.0,3-5-2,Ollie Watkins,Bukayo Saka
