model,position,feature,feature_label,alpha,standardized_coefficient,selected_nonzero
Full LASSO,GK,selected,Selected,0.46415888336127725,0.0,False
Full LASSO,GK,starts,Starts,0.46415888336127725,0.7301954307303608,True
Full LASSO,DEF,expected_assists,xA,0.46415888336127725,0.0,False
Full LASSO,DEF,expected_goal_involvements,xGI,0.46415888336127725,0.0,False
Full LASSO,DEF,expected_goals,xG,0.46415888336127725,0.0,False
Full LASSO,DEF,expected_goals_conceded,xGC,0.46415888336127725,0.0,False
Full LASSO,DEF,ict_index,ICT,0.46415888336127725,0.25977604331026166,True
Full LASSO,DEF,selected,Selected,0.46415888336127725,0.0,False
Full LASSO,DEF,starts,Starts,0.46415888336127725,0.26832682376408123,True
Full LASSO,MID,expected_assists,xA,0.21544346900318823,0.0,False
Full LASSO,MID,expected_goal_involvements,xGI,0.21544346900318823,0.10878253227326966,True
Full LASSO,MID,expected_goals,xG,0.21544346900318823,0.0,False
Full LASSO,MID,expected_goals_conceded,xGC,0.21544346900318823,0.06927034351928764,True
Full LASSO,MID,ict_index,ICT,0.21544346900318823,0.6969068870477306,True
Full LASSO,MID,selected,Selected,0.21544346900318823,0.0,False
Full LASSO,MID,starts,Starts,0.21544346900318823,0.27441638346771774,True
Full LASSO,FWD,expected_assists,xA,0.46415888336127725,0.0,False
Full LASSO,FWD,expected_goal_involvements,xGI,0.46415888336127725,0.0,False
Full LASSO,FWD,expected_goals,xG,0.46415888336127725,0.0,False
Full LASSO,FWD,expected_goals_conceded,xGC,0.46415888336127725,0.07781707004356549,True
Full LASSO,FWD,ict_index,ICT,0.46415888336127725,0.6326334813427336,True
Full LASSO,FWD,selected,Selected,0.46415888336127725,0.0,False
Full LASSO,FWD,starts,Starts,0.46415888336127725,0.20571914227895505,True
