model,cost_spearman_mean,cost_spearman_sd,normalized_cost_rmse_mean,normalized_cost_rmse_sd,top15_jaccard_mean,squad_jaccard_mean,squad_jaccard_sd,xi_jaccard_mean,xi_jaccard_sd,captain_stability
Full LASSO,0.9924214095072642,0.00668660833749711,0.053430084418512325,0.012479686488434203,0.8881323529411764,0.9167912796697626,0.07246000076927742,0.8818021978021978,0.10482413429298416,0.862
Full Ridge,0.9853789896058311,0.017349991028347167,0.0551391714162973,0.01163678827563342,0.9258970588235294,0.645470323536113,0.19246218619040006,0.8251465201465201,0.11739349433817313,0.978
Parsimonious Ridge,0.9855442445544529,0.017675438153889108,0.053284174171482526,0.012651454779833668,0.8750294117647058,0.65759427981719,0.11736068159808229,0.8015018315018315,0.10591148766120033,0.98
Reduced Ridge,0.9853132695148226,0.017534778138885345,0.050723124420304556,0.011523427982635101,0.9081176470588236,0.6600510366826157,0.17643029029391158,0.8286886446886447,0.11716828837669631,0.956
