bootstrap,model,cost_spearman,normalized_cost_rmse,top15_jaccard,squad_jaccard,xi_jaccard,captain_same
1,Full Ridge,0.9963306755842033,0.04920930597376229,0.875,1.0,1.0,True
1,Reduced Ridge,0.9963406351373745,0.05042807097810598,0.875,0.6666666666666666,0.8333333333333334,True
1,Parsimonious Ridge,0.9971272106431536,0.05407548252448871,1.0,0.6666666666666666,0.8333333333333334,True
1,Full LASSO,0.996685781772372,0.04055173574012729,0.875,1.0,1.0,True
2,Full Ridge,0.9958787243962651,0.053792904815928154,1.0,1.0,1.0,True
2,Reduced Ridge,0.9965046968981889,0.04754522125862391,1.0,0.875,1.0,True
2,Parsimonious Ridge,0.9990555509913391,0.05388181728384858,0.875,0.42857142857142855,0.6923076923076923,True
2,Full LASSO,0.9991606494790721,0.06449851566761863,1.0,1.0,0.8333333333333334,True
3,Full Ridge,0.9943284303508757,0.04612433212160252,1.0,0.6666666666666666,0.8333333333333334,True
3,Reduced Ridge,0.9942902590090149,0.045432423103985355,1.0,0.6666666666666666,0.8333333333333334,True
3,Parsimonious Ridge,0.9942082072927224,0.04798773423777526,0.7647058823529411,0.5789473684210527,0.8333333333333334,True
3,Full LASSO,0.9938667642711142,0.04778499244407577,0.875,0.875,1.0,True
4,Full Ridge,0.9644151415961968,0.04405375992338568,1.0,0.5789473684210527,0.8333333333333334,True
4,Reduced Ridge,0.9656389581548958,0.03876868342670856,0.875,0.5,0.8333333333333334,True
4,Parsimonious Ridge,0.9663041437929449,0.04163474472644951,1.0,0.5,0.6923076923076923,True
4,Full LASSO,0.9985976385896951,0.04293903276978249,1.0,0.875,1.0,True
5,Full Ridge,0.9917821809883756,0.05034368691199509,0.875,1.0,1.0,True
5,Reduced Ridge,0.9921356201106383,0.049079294598059056,0.875,1.0,1.0,True
5,Parsimonious Ridge,0.9936300114757805,0.055250551471766246,1.0,0.6666666666666666,0.8333333333333334,True
5,Full LASSO,0.9971954026647294,0.04406869475482296,1.0,1.0,0.8333333333333334,True
6,Full Ridge,0.9945203288544445,0.07001057706091227,0.875,0.5,0.6923076923076923,True
6,Reduced Ridge,0.9946846198099972,0.06735270487639347,0.875,0.5789473684210527,0.8333333333333334,True
6,Parsimonious Ridge,0.994869246589598,0.07212337828331418,0.875,0.7647058823529411,0.6923076923076923,True
6,Full LASSO,0.9972317037975245,0.06375118653555104,1.0,0.875,0.6923076923076923,True
7,Full Ridge,0.9945314760530775,0.038510601429273185,1.0,1.0,1.0,True
7,Reduced Ridge,0.9966051883729676,0.033168107595050386,0.875,1.0,1.0,True
7,Parsimonious Ridge,0.9973829502992669,0.027150919842323262,1.0,0.6666666666666666,0.6923076923076923,True
7,Full LASSO,0.9978152541476687,0.03665032937123547,0.875,0.875,0.8333333333333334,True
8,Full Ridge,0.9415246504879212,0.058896293093346444,0.875,1.0,1.0,True
8,Reduced Ridge,0.9394217887645031,0.06084871707856524,0.875,1.0,1.0,True
8,Parsimonious Ridge,0.9466478196360759,0.06778087560949787,1.0,0.6666666666666666,0.8333333333333334,True
8,Full LASSO,0.9874108311269604,0.058896593477265335,0.7647058823529411,0.875,0.8333333333333334,True
9,Full Ridge,0.997029761207628,0.06368986658843023,1.0,0.5,0.8333333333333334,True
9,Reduced Ridge,0.9970564519766912,0.054830461433394234,0.875,0.6666666666666666,0.8333333333333334,True
9,Parsimonious Ridge,0.9965931660671523,0.05869355461082901,1.0,0.6666666666666666,0.8333333333333334,True
9,Full LASSO,0.9951985544590845,0.06158830537721477,0.875,1.0,0.8333333333333334,True
10,Full Ridge,0.997675090246991,0.051962831476552306,0.875,0.875,1.0,True
10,Reduced Ridge,0.9975634515735793,0.047962932811656436,0.875,0.875,1.0,True
10,Parsimonious Ridge,0.9969056418389245,0.052770243891839035,0.7647058823529411,0.5,0.5714285714285714,True
10,Full LASSO,0.9950045332101709,0.06263153032210006,0.7647058823529411,0.875,0.8333333333333334,True
