,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,ict_index,selected,starts
expected_assists,1.0,0.6538475166341781,0.2732933324411612,0.27363001026721717,0.6251321381415191,0.28307567964669383,0.3966052661392142
expected_goal_involvements,0.6538475166341781,1.0,0.9065127514367523,0.31360482240138116,0.8032872902805497,0.3763991074344766,0.4482689219612466
expected_goals,0.2732933324411612,0.9065127514367523,1.0,0.24605380888014836,0.6724705121227673,0.32054293404888184,0.3486361992288612
expected_goals_conceded,0.27363001026721717,0.31360482240138116,0.24605380888014836,1.0,0.5114176404138766,0.2121054135713173,0.7666539144093777
ict_index,0.6251321381415191,0.8032872902805497,0.6724705121227673,0.5114176404138766,1.0,0.3880865440098004,0.672622600556914
selected,0.28307567964669383,0.3763991074344766,0.32054293404888184,0.2121054135713173,0.3880865440098004,1.0,0.3217232877982265
starts,0.3966052661392142,0.4482689219612466,0.3486361992288612,0.7666539144093777,0.672622600556914,0.3217232877982265,1.0
