bootstrap,model,position,feature,feature_label,standardized_coefficient,selected_nonzero
1,Full LASSO,MID,expected_goals_conceded,xGC,0.0,False
1,Full LASSO,MID,ict_index,ICT,0.6872119398903972,True
1,Full LASSO,MID,selected,Selected,0.017988680196426576,True
1,Full LASSO,MID,starts,Starts,0.392069857629833,True
1,Full LASSO,FWD,expected_assists,xA,0.0,False
1,Full LASSO,FWD,expected_goal_involvements,xGI,0.0,False
1,Full LASSO,FWD,expected_goals,xG,0.0,False
1,Full LASSO,FWD,expected_goals_conceded,xGC,0.14156155111819793,True
1,Full LASSO,FWD,ict_index,ICT,0.45139336972588706,True
1,Full LASSO,FWD,selected,Selected,0.027570987439947525,True
1,Full LASSO,FWD,starts,Starts,0.19406307228295133,True
2,Full Ridge,GK,expected_assists,xA,0.026574241824909316,True
2,Full Ridge,GK,expected_goal_involvements,xGI,0.026574241824907783,True
2,Full Ridge,GK,expected_goals,xG,0.0,False
2,Full Ridge,GK,expected_goals_conceded,xGC,0.12437458350748881,True
2,Full Ridge,GK,ict_index,ICT,-0.0971065791288198,True
2,Full Ridge,GK,selected,Selected,0.04445138223929022,True
2,Full Ridge,GK,starts,Starts,1.2836903682461962,True
2,Full Ridge,DEF,expected_assists,xA,0.10714822955381122,True
2,Full Ridge,DEF,expected_goal_involvements,xGI,0.010030853554766631,True
2,Full Ridge,DEF,expected_goals,xG,-0.10088420643913575,True
2,Full Ridge,DEF,expected_goals_conceded,xGC,0.15972877307131925,True
2,Full Ridge,DEF,ict_index,ICT,0.3807803455648077,True
2,Full Ridge,DEF,selected,Selected,-0.028522268186780032,True
2,Full Ridge,DEF,starts,Starts,0.4953804585293571,True
2,Full Ridge,MID,expected_assists,xA,0.1092628366986814,True
2,Full Ridge,MID,expected_goal_involvements,xGI,0.10414063321917895,True
2,Full Ridge,MID,expected_goals,xG,0.08279454540647752,True
2,Full Ridge,MID,expected_goals_conceded,xGC,0.2644086349960443,True
2,Full Ridge,MID,ict_index,ICT,0.5211503451396479,True
2,Full Ridge,MID,selected,Selected,0.14140285405765485,True
2,Full Ridge,MID,starts,Starts,0.35334295096889,True
2,Full Ridge,FWD,expected_assists,xA,0.2140773289411436,True
2,Full Ridge,FWD,expected_goal_involvements,xGI,-0.017232692657426496,True
2,Full Ridge,FWD,expected_goals,xG,-0.07218212109457393,True
2,Full Ridge,FWD,expected_goals_conceded,xGC,0.3845517734431995,True
2,Full Ridge,FWD,ict_index,ICT,0.37347499936358647,True
2,Full Ridge,FWD,selected,Selected,0.1304889055647227,True
2,Full Ridge,FWD,starts,Starts,0.2664596641937227,True
2,Reduced Ridge,GK,expected_goal_involvements,xGI,0.052967417641235665,True
2,Reduced Ridge,GK,expected_goals_conceded,xGC,0.12429123294682783,True
2,Reduced Ridge,GK,ict_index,ICT,-0.09704716878796911,True
2,Reduced Ridge,GK,selected,Selected,0.044432240075366274,True
