model,n_features,test_mae,test_rmse,test_spearman,cost_spearman_mean,cost_spearman_sd,normalized_cost_rmse_mean,normalized_cost_rmse_sd,top15_jaccard_mean,squad_jaccard_mean,squad_jaccard_sd,xi_jaccard_mean,xi_jaccard_sd,captain_stability,sequential_points,static_points,alpha_GK,alpha_DEF,alpha_MID,alpha_FWD
Full Ridge,7,0.6556617940439102,1.0902596988280697,0.8015455550408401,0.9853789896058311,0.017349991028347167,0.0551391714162973,0.01163678827563342,0.9258970588235294,0.645470323536113,0.19246218619040006,0.8251465201465201,0.11739349433817313,0.978,639.0,640.0,10.0,316.2277660168379,100.0,316.2277660168379
Reduced Ridge,5,0.6573581659218626,1.0933627359299842,0.801067390495328,0.9853132695148226,0.017534778138885345,0.050723124420304556,0.011523427982635101,0.9081176470588236,0.6600510366826157,0.17643029029391158,0.8286886446886447,0.11716828837669631,0.956,639.0,640.0,10.0,316.2277660168379,31.622776601683793,316.2277660168379
Parsimonious Ridge,4,0.6575921748308278,1.0802154379446052,0.7988962185129722,0.9855442445544529,0.017675438153889108,0.053284174171482526,0.012651454779833668,0.8750294117647058,0.65759427981719,0.11736068159808229,0.8015018315018315,0.10591148766120033,0.98,689.0,687.0,3.1622776601683795,316.2277660168379,31.622776601683793,316.2277660168379
Full LASSO,7,0.7088623475808803,1.0624605589405927,0.7970159299464412,0.9924214095072642,0.00668660833749711,0.053430084418512325,0.012479686488434203,0.8881323529411764,0.9167912796697626,0.07246000076927742,0.8818021978021978,0.10482413429298416,0.862,558.0,556.0,0.46415888336127725,0.46415888336127725,0.21544346900318823,0.46415888336127725
