model,position,feature,feature_label,coefficient_mean,coefficient_sd,selection_frequency,sign_consistency
Parsimonious Ridge,FWD,expected_goal_involvements,xGI,0.3514765859524204,0.07379151255556542,1.0,1.0
Parsimonious Ridge,FWD,expected_goals_conceded,xGC,0.41585926091578673,0.07795663236360285,1.0,1.0
Parsimonious Ridge,FWD,selected,Selected,0.3092901619042168,0.09993615281104681,1.0,1.0
Parsimonious Ridge,FWD,starts,Starts,0.4185256183655334,0.08225906685297357,1.0,1.0
Parsimonious Ridge,GK,expected_goal_involvements,xGI,-0.006471091006076742,0.06509379610624001,1.0,0.476
Parsimonious Ridge,GK,expected_goals_conceded,xGC,-0.1470927247096047,0.15954140690733942,1.0,0.838
Parsimonious Ridge,GK,selected,Selected,0.08268768263114788,0.06013127913004865,1.0,0.924
Parsimonious Ridge,GK,starts,Starts,1.2731845206631685,0.2065279352093474,1.0,1.0
Parsimonious Ridge,MID,expected_goal_involvements,xGI,0.5804441842236758,0.07728288877930442,1.0,1.0
Parsimonious Ridge,MID,expected_goals_conceded,xGC,0.21461617150534346,0.07828623440528365,1.0,0.994
Parsimonious Ridge,MID,selected,Selected,0.14996259135630502,0.061844219326044836,1.0,0.988
Parsimonious Ridge,MID,starts,Starts,0.5463883845170421,0.09794840209974208,1.0,1.0
Reduced Ridge,DEF,expected_goal_involvements,xGI,-0.0018694940408498812,0.0546398848902474,1.0,0.52
Reduced Ridge,DEF,expected_goals_conceded,xGC,0.020398353477477097,0.06112186903890198,1.0,0.624
Reduced Ridge,DEF,ict_index,ICT,0.4608752130636066,0.07141872330183255,1.0,1.0
Reduced Ridge,DEF,selected,Selected,0.056457615964808285,0.0639698859226011,1.0,0.782
Reduced Ridge,DEF,starts,Starts,0.4868664406181768,0.06320822191203057,1.0,1.0
Reduced Ridge,FWD,expected_goal_involvements,xGI,0.11966537758041072,0.0798622911808599,1.0,0.934
Reduced Ridge,FWD,expected_goals_conceded,xGC,0.3651636183319456,0.07370551969586768,1.0,1.0
Reduced Ridge,FWD,ict_index,ICT,0.45025109118439666,0.06454594893063653,1.0,1.0
Reduced Ridge,FWD,selected,Selected,0.2743266080482424,0.09393098092470246,1.0,1.0
Reduced Ridge,FWD,starts,Starts,0.29461046798644935,0.07881717932698971,1.0,1.0
Reduced Ridge,GK,expected_goal_involvements,xGI,-0.004713164826157257,0.0654038113103221,1.0,0.476
Reduced Ridge,GK,expected_goals_conceded,xGC,-0.1627140687652591,0.1798956591218306,1.0,0.818
Reduced Ridge,GK,ict_index,ICT,0.09584154563373937,0.14127965504303483,1.0,0.752
Reduced Ridge,GK,selected,Selected,0.08870842743401094,0.058253779134113455,1.0,0.94
Reduced Ridge,GK,starts,Starts,1.1889639663503693,0.20110889333081766,1.0,1.0
Reduced Ridge,MID,expected_goal_involvements,xGI,0.21147110360022972,0.10599082482574029,1.0,0.978
Reduced Ridge,MID,expected_goals_conceded,xGC,0.21460466374555726,0.07419783811332646,1.0,0.996
Reduced Ridge,MID,ict_index,ICT,0.5912909765704646,0.11179004087012995,1.0,1.0
Reduced Ridge,MID,selected,Selected,0.12782551213577917,0.058693199826229364,1.0,0.986
Reduced Ridge,MID,starts,Starts,0.32409730121976066,0.09966470669516833,1.0,0.998
