model,n_features,test_mae,test_rmse,test_spearman
Full Ridge,7,0.6556617940439102,1.0902596988280697,0.8015455550408401
Reduced Ridge,5,0.6573581659218626,1.0933627359299842,0.801067390495328
Parsimonious Ridge,4,0.6575921748308278,1.0802154379446052,0.7988962185129722
Full LASSO,7,0.7088623475808803,1.0624605589405927,0.7970159299464412
