model,name,position,reference_cost,bootstrap_mean_cost,bootstrap_sd_cost,absolute_cv
Full Ridge,Aaron Connolly,FWD,0.199570451271094,0.1965032948316294,0.03328578705909458,0.16939047809663932
Full Ridge,Aaron Cresswell,DEF,0.19573171441526566,0.19586188494120757,0.019141684196244024,0.09773052169895045
Full Ridge,Aaron Hickey,DEF,0.14377396822948552,0.1438703246014839,0.019536706016780134,0.1357938551323643
Full Ridge,Aaron Ramsdale,GK,0.11066856472398427,0.1086286280206132,0.05254977231404769,0.4837562001066232
Full Ridge,Aaron Ramsey,MID,1.0139487593945982,1.013543223344697,0.04196928969848595,0.0414084853332521
Full Ridge,Aaron Wan-Bissaka,DEF,0.3287877735061356,0.32807569300283795,0.02140944709754267,0.06525764497084358
Full Ridge,Abdoulaye Doucouré,MID,1.6119001610385981,1.6081539516009928,0.06398635920195592,0.039788702529539845
Full Ridge,Abdul Rahman Baba,DEF,0.13912041565716407,0.13922179149659086,0.019911664323735537,0.14302117584963786
Full Ridge,Adam Davies,GK,0.03536833254977563,0.03657089109454398,0.013078394896053863,0.35761761621403404
Full Ridge,Adam Lallana,MID,0.7125903989705793,0.7138797874518087,0.02086673466106107,0.029230039886049726
Full Ridge,Adam Smith,DEF,1.7142869697322531,1.7149558573559915,0.061768929580535814,0.036017795627560446
Full Ridge,Adam Webster,DEF,0.658677168864011,0.6523738767658372,0.03185373077847253,0.04882741616875946
Full Ridge,Adam Wharton,MID,2.434949842425003,2.4383420433239538,0.07259191213865587,0.02977101278198788
Full Ridge,Adama Traoré,MID,1.104382911828629,1.103945314495991,0.052750067582641565,0.04778322521050306
Full Ridge,Ademola Ola-Adebomi,FWD,0.19968687410739783,0.19663951745736666,0.03327415607028693,0.16921398353970782
Full Ridge,Admiral Muskwe,FWD,0.2003264254591029,0.1973878359762157,0.03321160217414153,0.16825556655954912
Full Ridge,Adrián San Miguel del Castillo,GK,0.036402024300780024,0.03755550993450675,0.013087689486832872,0.3484891966493482
Full Ridge,Aidan Francis-Clarke,DEF,0.13920798195896467,0.139310257104429,0.01987450638434434,0.14266362576192881
Full Ridge,Albert Sambi Lokonga,MID,3.2185596637930907,3.2243243898746314,0.10225842666877737,0.0317146832340754
Full Ridge,Alejandro Garnacho,MID,4.654752874561325,4.64904454301293,0.10505865860460965,0.022597903210564586
Full Ridge,Alejo Véliz,FWD,0.30929374780546987,0.3064014668373823,0.032819049339574136,0.10711126705210039
Full Ridge,Aleksandar Mitrović,FWD,0.2113002835349514,0.21022092094024655,0.032502822402228515,0.15461269152877108
Full Ridge,Alex Iwobi,MID,2.820077686661097,2.820452844245213,0.058205397678160686,0.020636898006262238
Full Ridge,Alex Matos,MID,0.15944520427921843,0.15980619680611732,0.01681394593455259,0.10521460538199202
Full Ridge,Alex Mighten,MID,0.159524488254753,0.1598831327935489,0.0168052069094709,0.10510931713585343
Full Ridge,Alex Murphy,DEF,0.14219391951635532,0.14232099695120368,0.019192699317676754,0.1348550089503461
Full Ridge,Alex Scott,MID,1.338559773698043,1.3383656272521303,0.03822457408922872,0.028560636429156978
Full Ridge,Alex Telles,DEF,0.13913656889619067,0.1392381106294041,0.01990474729019152,0.14295473559799987
