name,lag_expected_assists,lag_expected_goal_involvements,lag_expected_goals,lag_expected_goals_conceded,lag_ict_index,lag_selected,lag_starts,lag_total_points,history_gameweeks,team,position,value,model_prediction,cost_vector,model,future_total_points,future_mean_points,future_appearances
Aaron Connolly,0.0,0.0,0.0,0.0,0.0,1767.9219840972592,0.0,0.0,26,Brighton,FWD,4.5,0.299355676906641,0.199570451271094,Full Ridge,0.0,0.0,0
Aaron Cresswell,7.612194201737236e-05,7.612194201737236e-05,0.0,0.009869760502005883,0.00561954378205331,32189.489974271582,0.00628798958539336,0.14452442653336287,26,West Ham,DEF,4.2,0.2213353583562171,0.19573171441526566,Full Ridge,7.0,0.5833333333333334,7
Aaron Hickey,9.086832035971058e-06,3.8602793092547094e-05,2.9515961056576034e-05,0.002035797281417417,0.002452191613629593,15292.640350699687,0.0017761786470720227,0.00534791159175242,25,Brentford,DEF,4.4,0.21298699654835207,0.14377396822948552,Full Ridge,0.0,0.0,0
Aaron Ramsdale,1.980106402118309e-07,1.980106402118309e-07,0.0,0.002027377285018917,0.0010222057588728476,631956.498811173,0.001846400877533864,0.010593279196684197,26,Arsenal,GK,4.5,0.1607062074876343,0.11066856472398427,Full Ridge,3.0,0.25,1
Aaron Ramsey,0.002053559005005193,0.03498371450694462,0.03515237772416164,0.719246251643676,0.6111388519918903,4407.0999685571,0.469386409685654,0.8402673698470102,24,Burnley,MID,5.0,1.1007894541683922,1.0139487593945982,Full Ridge,0.0,0.0,0
Aaron Wan-Bissaka,0.002221514996592938,0.0034691417322042298,0.0012476267356112919,0.1416488851206657,0.31100522957110227,193940.655420587,0.10913894007000809,0.07532633805375576,26,Man Utd,DEF,4.4,0.45551849123232546,0.3287877735061356,Full Ridge,18.0,1.5,9
Abdoulaye Doucouré,0.003315867708013848,0.11584541357391302,0.11252954586589918,0.5479753468792674,1.9136586104955524,59670.94393764496,0.6254635980287558,1.7060069356499978,26,Everton,MID,5.5,1.5648467737328986,1.6119001610385981,Full Ridge,32.0,2.6666666666666665,11
Abdul Rahman Baba,0.0,0.0,0.0,0.0,0.0,255.10351953444496,0.0,0.0,25,Chelsea,DEF,4.0,0.20868062348574612,0.13912041565716407,Full Ridge,0.0,0.0,0
Adam Davies,0.0,0.0,0.0,0.0,0.0,17559.899334161346,0.0,0.0,26,Sheffield Utd,GK,4.0,0.05305249882466345,0.03536833254977563,Full Ridge,0.0,0.0,0
Adam Lallana,0.029116435221131876,0.03476929226452899,0.005652857043397107,0.2337029028872849,0.725103730702556,4938.127947885013,0.16935863907144083,0.7150228588995996,26,Brighton,MID,4.9,0.7113741690060693,0.7125903989705793,Full Ridge,8.0,0.6666666666666666,7
Adam Smith,0.012415701612518492,0.012415701612518492,0.0,1.5091035099419674,1.2557114509415293,12641.535853002953,0.9513043410566757,1.522895474259064,25,Bournemouth,DEF,4.4,1.809982717468848,1.7142869697322531,Full Ridge,40.0,3.3333333333333335,10
Adam Webster,0.010372762725581346,0.010869536283716045,0.000496773558134699,0.08206205672049409,0.8731522824310667,16617.837022703705,0.25343547257547056,0.39891979595028243,26,Brighton,DEF,4.2,0.7885558553208754,0.658677168864011,Full Ridge,14.0,1.1666666666666667,5
Adam Wharton,0.13148148148148148,0.15814814814814815,0.026666666666666665,0.91,4.614814814814815,739.0370370370371,0.7037037037037037,2.2222222222222223,4,Crystal Palace,MID,5.0,2.5413136525263935,2.434949842425003,Full Ridge,41.0,3.4166666666666665,11
Adama Traoré,0.015589810429463372,0.12226004128765387,0.10667023085819047,0.43491168617781345,1.5566604259224728,2783.4205531462894,0.0,1.482756967793885,25,Fulham,MID,4.9,0.915195883846001,1.104382911828629,Full Ridge,27.0,2.25,10
Ademola Ola-Adebomi,0.0,0.0,0.0,0.0,0.0,2452.2082783916303,0.0,0.0,20,Crystal Palace,FWD,4.5,0.29953031116109674,0.19968687410739783,Full Ridge,0.0,0.0,0
Admiral Muskwe,0.0,0.0,0.0,0.0,0.0,6211.232180944679,0.0,0.0,23,Luton,FWD,4.5,0.3004896381886544,0.2003264254591029,Full Ridge,0.0,0.0,0
Adrián San Miguel del Castillo,0.0,0.0,0.0,0.0,0.0,26844.787988718308,0.0,0.0,25,Liverpool,GK,3.9,0.05460303645117004,0.036402024300780024,Full Ridge,0.0,0.0,0
Aidan Francis-Clarke,0.0,0.0,0.0,0.0,0.0,1734.4608368157162,0.0,0.0,23,Luton,DEF,4.0,0.208811972938447,0.13920798195896467,Full Ridge,0.0,0.0,0
Albert Sambi Lokonga,0.1404960826254425,0.15924761267165027,0.01875153004620776,2.3117646683971156,4.368937589754923,2725.205166563268,1.2946908018474872,2.5535415675389794,24,Luton,MID,4.9,3.5510687119201467,3.2185596637930907,Full Ridge,19.0,1.5833333333333333,5
Alejandro Garnacho,0.14796828449369617,0.4687067272054911,0.3207384427117949,1.591395265140077,10.059610416345151,864953.960132101,0.9985369643517163,4.302420436866783,26,Man Utd,MID,5.0,4.830919093408596,4.654752874561325,Full Ridge,48.0,4.0,11
Alejo Véliz,0.0,0.012290809327846373,0.012290809327846373,0.031930892328206235,0.18926553778625804,6274.735893170268,0.0,0.21241647857194268,25,Spurs,FWD,5.4,0.3577323824222335,0.30929374780546987,Full Ridge,0.0,0.0,0
Aleksandar Mitrović,7.920425608473241e-07,7.128383047625916e-06,6.336340486778593e-06,2.376127682541972e-05,0.00013068702253980852,70467.40459285362,0.0,3.960212804236619e-05,26,Fulham,FWD,7.4,0.3169306242384059,0.2113002835349514,Full Ridge,0.0,0.0,0
Alex Iwobi,0.09307656741602327,0.21569529531944526,0.12261872790342201,0.8005298176434181,4.768560447014021,45526.963496279015,0.42039481899226755,3.8105279777600978,26,Fulham,MID,5.3,2.324852541111597,2.820077686661097,Full Ridge,38.0,3.1666666666666665,12
Alex Matos,0.0,0.0,0.0,0.0,0.0,721.8995190021215,0.0,0.00022554649486628857,21,Chelsea,MID,4.5,0.23905503317139454,0.15944520427921843,Full Ridge,0.0,0.0,0
Alex Mighten,0.0,0.0,0.0,0.0,0.0,1743.88327006157,0.0,0.0,26,Nott'm Forest,MID,4.4,0.2392867323821295,0.159524488254753,Full Ridge,0.0,0.0,0
Alex Murphy,0.0,0.0,0.0,0.0,0.0,42534.196140692795,0.0,0.0017127436953908778,26,Newcastle,DEF,3.9,0.21243450742683756,0.14219391951635532,Full Ridge,1.0,0.08333333333333333,1
Alex Scott,0.020394932132771125,0.06839211129073766,0.04799717915796654,0.6195713682040189,2.2427686536217246,2734.1924203297403,0.23591151886652031,1.4800305231146413,25,Bournemouth,MID,4.9,1.2678243989897438,1.338559773698043,Full Ridge,15.0,1.25,9
Alex Telles,0.0,0.0,0.0,0.0,0.0,527.998592871597,0.0,0.0,26,Man Utd,DEF,4.5,0.208704853344286,0.13913656889619067,Full Ridge,0.0,0.0,0
Alexander Isak,0.013333830748128373,0.10610122377576683,0.09276739302763845,1.118641142284296,1.5493281805090906,1323115.5508355983,0.5062713657522119,1.3645237691676748,26,Newcastle,FWD,7.5,2.0959425247102095,1.852136272862698,Full Ridge,91.0,7.583333333333333,11
Alexandre Moreno Lopera,0.060531592406306636,0.09283628850615593,0.032304696099849296,1.4610142800423755,3.270948170477376,299643.1392695558,0.9501431014919814,1.8023606257954012,26,Aston Villa,DEF,5.2,2.4157147531222716,2.211263377346648,Full Ridge,13.0,1.0833333333333333,8
Alexis Mac Allister,0.22726195334813354,0.3717508368206852,0.1444888834725517,1.5759052132466758,9.24809806596809,296020.95967408584,1.2172748767554213,6.898247353622898,25,Liverpool,MID,5.8,4.685673493766918,5.423198113718911,Full Ridge,51.0,4.25,11
Alfie Dorrington,0.0,0.0,0.0,0.0,0.0,2075.3991223861167,0.0,0.0,14,Spurs,DEF,4.0,0.20884224423037312,0.13922816282024875,Full Ridge,0.0,0.0,0
Alfie Doughty,0.23329480856887155,0.34643027441055974,0.11313546584168818,2.9065597623185724,9.121402778538027,663918.0392014387,1.3275402930005633,2.7888547997882247,23,Luton,DEF,4.6,4.681555448591751,4.0506552323239085,Full Ridge,27.0,2.25,12
Alfie Gilchrist,0.0014814814814814816,0.0014814814814814816,0.0,0.17579332418838595,0.13598536808413356,3266.4882014123136,0.0,0.5093735711019663,21,Chelsea,DEF,4.0,0.2509289342792359,0.33707714655347937,Full Ridge,15.0,1.25,6
Alfie Whiteman,0.0,0.0,0.0,0.0,0.0,21444.38695853128,0.0,0.0,25,Spurs,GK,3.9,0.05370119203417534,0.03580079468945022,Full Ridge,0.0,0.0,0
