model,policy,GW,weekly_points,base_points,captain_bonus,captain_used,planned_absences,autosubs_used,substitute_points,squad_members,planned_xi_members,bench_order,captain,vice_captain,cumulative_points
Reduced Ridge,sequential,38,57.0,42.0,15.0,Phil Foden,4,2,7.0,Alfie Doughty|Bukayo Saka|Caoimhin Kelleher|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jakub Kiwior|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Rodrigo Muniz Carvalho|Virgil van Dijk,Alfie Doughty|Bukayo Saka|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Jarrod Bowen|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden,Rodrigo Muniz Carvalho|Virgil van Dijk|Jakub Kiwior|Caoimhin Kelleher,Bukayo Saka,Phil Foden,639.0
Parsimonious Ridge,static,27,87.0,80.0,7.0,Bukayo Saka,0,0,0.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,87.0
Parsimonious Ridge,static,28,33.0,31.0,2.0,Bukayo Saka,0,0,0.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,120.0
Parsimonious Ridge,static,29,8.0,8.0,0.0,,9,2,4.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,128.0
Parsimonious Ridge,static,30,37.0,34.0,3.0,Bukayo Saka,1,1,2.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,165.0
Parsimonious Ridge,static,31,55.0,49.0,6.0,Luis Díaz,4,2,1.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,220.0
Parsimonious Ridge,static,32,79.0,69.0,10.0,Bukayo Saka,2,1,1.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,299.0
Parsimonious Ridge,static,33,34.0,32.0,2.0,Bukayo Saka,1,1,1.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,333.0
Parsimonious Ridge,static,34,98.0,89.0,9.0,Bukayo Saka,1,1,12.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,431.0
Parsimonious Ridge,static,35,61.0,49.0,12.0,Bukayo Saka,1,1,1.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,492.0
Parsimonious Ridge,static,36,74.0,64.0,10.0,Bukayo Saka,0,0,0.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,566.0
Parsimonious Ridge,static,37,67.0,65.0,2.0,Bukayo Saka,0,0,0.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,633.0
Parsimonious Ridge,static,38,54.0,51.0,3.0,Luis Díaz,3,3,11.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,687.0
Parsimonious Ridge,sequential,27,87.0,80.0,7.0,Bukayo Saka,0,0,0.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,87.0
Parsimonious Ridge,sequential,28,33.0,31.0,2.0,Bukayo Saka,0,0,0.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Chris Richards|Harry Maguire|Alphonse Areola,Bukayo Saka,Luis Díaz,120.0
Parsimonious Ridge,sequential,29,8.0,8.0,0.0,,8,1,1.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Alphonse Areola|Bukayo Saka|Carlton Morris|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Chris Richards|Harry Maguire|Ederson Santana de Moraes,Bukayo Saka,Luis Díaz,128.0
Parsimonious Ridge,sequential,30,37.0,34.0,3.0,Bukayo Saka,0,0,0.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Alphonse Areola|Bukayo Saka|Carlton Morris|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Chris Richards|Harry Maguire|Ederson Santana de Moraes,Bukayo Saka,Luis Díaz,165.0
Parsimonious Ridge,sequential,31,55.0,49.0,6.0,Luis Díaz,4,2,1.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Alphonse Areola|Bukayo Saka|Carlton Morris|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Chris Richards|Harry Maguire|Ederson Santana de Moraes,Bukayo Saka,Luis Díaz,220.0
Parsimonious Ridge,sequential,32,79.0,69.0,10.0,Bukayo Saka,2,1,1.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Alphonse Areola|Bukayo Saka|Carlton Morris|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Chris Richards|Harry Maguire|Ederson Santana de Moraes,Bukayo Saka,Luis Díaz,299.0
Parsimonious Ridge,sequential,33,34.0,32.0,2.0,Bukayo Saka,2,2,3.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Alphonse Areola|Bukayo Saka|Carlton Morris|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Ederson Santana de Moraes,Bukayo Saka,Luis Díaz,333.0
Parsimonious Ridge,sequential,34,98.0,89.0,9.0,Bukayo Saka,1,1,12.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Douglas Luiz Soares de Paulo|Harry Maguire|Chris Richards|Alphonse Areola,Bukayo Saka,Luis Díaz,431.0
Parsimonious Ridge,sequential,35,62.0,50.0,12.0,Bukayo Saka,1,1,1.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Lewis Dunk|Chris Richards|Douglas Luiz Soares de Paulo|Alphonse Areola,Bukayo Saka,Luis Díaz,493.0
Parsimonious Ridge,sequential,36,74.0,64.0,10.0,Bukayo Saka,1,1,7.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Lewis Dunk|Chris Richards|Douglas Luiz Soares de Paulo|Alphonse Areola,Bukayo Saka,Luis Díaz,567.0
Parsimonious Ridge,sequential,37,68.0,66.0,2.0,Bukayo Saka,0,0,0.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden,Virgil van Dijk|Douglas Luiz Soares de Paulo|Harry Maguire|Alphonse Areola,Bukayo Saka,Luis Díaz,635.0
Parsimonious Ridge,sequential,38,54.0,51.0,3.0,Luis Díaz,3,3,11.0,Alphonse Areola|Bukayo Saka|Carlton Morris|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Harry Maguire|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden|Virgil van Dijk,Bukayo Saka|Carlton Morris|Chris Richards|Ederson Santana de Moraes|Erling Haaland|Gabriel dos Santos Magalhães|Kai Havertz|Lewis Dunk|Luis Díaz|Ollie Watkins|Phil Foden,Virgil van Dijk|Douglas Luiz Soares de Paulo|Harry Maguire|Alphonse Areola,Bukayo Saka,Luis Díaz,689.0
Full LASSO,static,27,68.0,61.0,7.0,Bukayo Saka,0,0,0.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,68.0
Full LASSO,static,28,35.0,33.0,2.0,Bukayo Saka,1,1,2.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,103.0
Full LASSO,static,29,11.0,11.0,0.0,,7,2,4.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,114.0
Full LASSO,static,30,29.0,26.0,3.0,Bukayo Saka,1,1,1.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,143.0
Full LASSO,static,31,65.0,45.0,20.0,Phil Foden,3,1,2.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,208.0
Full LASSO,static,32,59.0,49.0,10.0,Bukayo Saka,2,1,2.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,267.0
Full LASSO,static,33,26.0,24.0,2.0,Bukayo Saka,2,0,0.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,293.0
Full LASSO,static,34,63.0,54.0,9.0,Bukayo Saka,1,1,6.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,356.0
Full LASSO,static,35,46.0,34.0,12.0,Bukayo Saka,1,1,1.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,402.0
Full LASSO,static,36,44.0,34.0,10.0,Bukayo Saka,0,0,0.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,446.0
Full LASSO,static,37,46.0,44.0,2.0,Bukayo Saka,0,0,0.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,492.0
Full LASSO,static,38,64.0,49.0,15.0,Phil Foden,3,3,14.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,556.0
Full LASSO,sequential,27,68.0,61.0,7.0,Bukayo Saka,0,0,0.0,Bukayo Saka|Carlton Morris|Chiedozie Ogbene|Chris Richards|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Jakub Kiwior|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Thomas Kaminski|Virgil van Dijk,Bukayo Saka|Carlton Morris|Douglas Luiz Soares de Paulo|Ederson Santana de Moraes|Emerson Palmieri dos Santos|Lewis Dunk|Luis Díaz|Ollie Watkins|Pascal Groß|Phil Foden|Virgil van Dijk,Chiedozie Ogbene|Jakub Kiwior|Chris Richards|Thomas Kaminski,Bukayo Saka,Phil Foden,68.0
