series,policy,GW,weekly_points,base_points,captain_bonus,captain_used,autosubs_used,substitute_points,cumulative_points
Hybrid Weighted 1:2 (Higher Total Points),static,32,71.0,61.0,10.0,Bukayo Saka,1,1.0,320.0
Hybrid Weighted 1:2 (Higher Total Points),static,33,53.0,51.0,2.0,Bukayo Saka,1,1.0,373.0
Hybrid Weighted 1:2 (Higher Total Points),static,34,105.0,96.0,9.0,Bukayo Saka,1,3.0,478.0
Hybrid Weighted 1:2 (Higher Total Points),static,35,54.0,42.0,12.0,Bukayo Saka,1,2.0,532.0
Hybrid Weighted 1:2 (Higher Total Points),static,36,69.0,59.0,10.0,Bukayo Saka,0,0.0,601.0
Hybrid Weighted 1:2 (Higher Total Points),static,37,71.0,69.0,2.0,Bukayo Saka,0,0.0,672.0
Hybrid Weighted 1:2 (Higher Total Points),static,38,45.0,43.0,2.0,Ollie Watkins,1,1.0,717.0
Hybrid Weighted 2:1 (Lower Total Points),static,27,63.0,56.0,7.0,Bukayo Saka,1,1.0,63.0
Hybrid Weighted 2:1 (Lower Total Points),static,28,45.0,43.0,2.0,Bukayo Saka,1,1.0,108.0
Hybrid Weighted 2:1 (Lower Total Points),static,29,7.0,5.0,2.0,Ollie Watkins,1,3.0,115.0
Hybrid Weighted 2:1 (Lower Total Points),static,30,50.0,47.0,3.0,Bukayo Saka,1,1.0,165.0
Hybrid Weighted 2:1 (Lower Total Points),static,31,59.0,59.0,0.0,,1,2.0,224.0
Hybrid Weighted 2:1 (Lower Total Points),static,32,75.0,65.0,10.0,Bukayo Saka,2,10.0,299.0
Hybrid Weighted 2:1 (Lower Total Points),static,33,51.0,49.0,2.0,Bukayo Saka,1,-1.0,350.0
Hybrid Weighted 2:1 (Lower Total Points),static,34,118.0,109.0,9.0,Bukayo Saka,1,20.0,468.0
Hybrid Weighted 2:1 (Lower Total Points),static,35,58.0,46.0,12.0,Bukayo Saka,1,6.0,526.0
Hybrid Weighted 2:1 (Lower Total Points),static,36,63.0,53.0,10.0,Bukayo Saka,0,0.0,589.0
Hybrid Weighted 2:1 (Lower Total Points),static,37,63.0,61.0,2.0,Bukayo Saka,0,0.0,652.0
Hybrid Weighted 2:1 (Lower Total Points),static,38,49.0,47.0,2.0,Ollie Watkins,1,1.0,701.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,27,52.0,51.0,1.0,Daniel Muñoz,1,1.0,52.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,28,41.0,37.0,4.0,Daniel Muñoz,1,1.0,93.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,29,3.0,3.0,0.0,,0,0.0,96.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,30,49.0,47.0,2.0,Daniel Muñoz,1,2.0,145.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,31,43.0,41.0,2.0,Daniel Muñoz,3,5.0,188.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,32,44.0,44.0,0.0,Daniel Muñoz,3,7.0,232.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,33,57.0,51.0,6.0,Daniel Muñoz,2,2.0,289.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,34,58.0,51.0,7.0,Daniel Muñoz,2,4.0,347.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,35,41.0,39.0,2.0,Daniel Muñoz,1,2.0,388.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,36,79.0,66.0,13.0,Daniel Muñoz,1,2.0,467.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,37,45.0,44.0,1.0,Daniel Muñoz,1,2.0,512.0
Hybrid Exponential Smoothing 1:2 (Higher Total Points),static,38,40.0,30.0,10.0,Daniel Muñoz,1,2.0,552.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,27,68.0,67.0,1.0,Daniel Muñoz,1,1.0,68.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,28,24.0,20.0,4.0,Daniel Muñoz,1,1.0,92.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,29,3.0,3.0,0.0,,0,0.0,95.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,30,42.0,40.0,2.0,Daniel Muñoz,1,2.0,137.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,31,42.0,40.0,2.0,Daniel Muñoz,3,5.0,179.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,32,44.0,44.0,0.0,Daniel Muñoz,3,7.0,223.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,33,28.0,22.0,6.0,Daniel Muñoz,2,2.0,251.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,34,86.0,79.0,7.0,Daniel Muñoz,2,4.0,337.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,35,34.0,32.0,2.0,Daniel Muñoz,2,3.0,371.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,36,76.0,63.0,13.0,Daniel Muñoz,1,2.0,447.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,37,47.0,46.0,1.0,Daniel Muñoz,1,2.0,494.0
Hybrid Exponential Smoothing 2:1 (Lower Total Points),static,38,50.0,40.0,10.0,Daniel Muñoz,1,2.0,544.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,27,80.0,67.0,13.0,Ollie Watkins,1,8.0,80.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,28,29.0,27.0,2.0,Ollie Watkins,1,2.0,109.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,29,11.0,9.0,2.0,Ollie Watkins,2,5.0,120.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,30,53.0,52.0,1.0,Ollie Watkins,2,6.0,173.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,31,47.0,47.0,0.0,,2,1.0,220.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,32,70.0,57.0,13.0,Ollie Watkins,2,2.0,290.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,33,33.0,26.0,7.0,Ollie Watkins,2,2.0,323.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,34,104.0,95.0,9.0,Ollie Watkins,0,0.0,427.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,35,49.0,47.0,2.0,Ollie Watkins,1,3.0,476.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,36,57.0,55.0,2.0,Ollie Watkins,0,0.0,533.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,37,65.0,60.0,5.0,Ollie Watkins,0,0.0,598.0
Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),static,38,35.0,33.0,2.0,Ollie Watkins,2,4.0,633.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,27,80.0,67.0,13.0,Ollie Watkins,1,8.0,80.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,28,29.0,27.0,2.0,Ollie Watkins,1,2.0,109.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,29,11.0,9.0,2.0,Ollie Watkins,2,5.0,120.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,30,53.0,52.0,1.0,Ollie Watkins,2,6.0,173.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,31,48.0,47.0,1.0,Mohamed Salah,2,1.0,221.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,32,70.0,57.0,13.0,Ollie Watkins,2,2.0,291.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,33,33.0,26.0,7.0,Ollie Watkins,2,2.0,324.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,34,104.0,95.0,9.0,Ollie Watkins,0,0.0,428.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,35,49.0,47.0,2.0,Ollie Watkins,1,3.0,477.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,36,57.0,55.0,2.0,Ollie Watkins,0,0.0,534.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,37,65.0,60.0,5.0,Ollie Watkins,0,0.0,599.0
Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),static,38,35.0,33.0,2.0,Ollie Watkins,2,4.0,634.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,27,80.0,67.0,13.0,Ollie Watkins,1,8.0,80.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,28,29.0,27.0,2.0,Ollie Watkins,1,2.0,109.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,29,11.0,9.0,2.0,Ollie Watkins,2,5.0,120.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,30,53.0,52.0,1.0,Ollie Watkins,2,6.0,173.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,31,47.0,47.0,0.0,,2,1.0,220.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,32,70.0,57.0,13.0,Ollie Watkins,2,2.0,290.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,33,33.0,26.0,7.0,Ollie Watkins,2,2.0,323.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,34,104.0,95.0,9.0,Ollie Watkins,0,0.0,427.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,35,49.0,47.0,2.0,Ollie Watkins,1,3.0,476.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,36,57.0,55.0,2.0,Ollie Watkins,0,0.0,533.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,37,65.0,60.0,5.0,Ollie Watkins,0,0.0,598.0
Hybrid Monte Carlo 1:2 (Higher Total Points),static,38,35.0,33.0,2.0,Ollie Watkins,2,4.0,633.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,27,75.0,62.0,13.0,Ollie Watkins,2,9.0,75.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,28,35.0,33.0,2.0,Ollie Watkins,1,2.0,110.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,29,12.0,10.0,2.0,Ollie Watkins,2,5.0,122.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,30,49.0,48.0,1.0,Ollie Watkins,2,6.0,171.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,31,43.0,43.0,0.0,,2,1.0,214.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,32,75.0,62.0,13.0,Ollie Watkins,2,2.0,289.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,33,33.0,26.0,7.0,Ollie Watkins,2,2.0,322.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,34,92.0,83.0,9.0,Ollie Watkins,0,0.0,414.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,35,50.0,48.0,2.0,Ollie Watkins,1,3.0,464.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,36,50.0,48.0,2.0,Ollie Watkins,0,0.0,514.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,37,68.0,63.0,5.0,Ollie Watkins,0,0.0,582.0
Hybrid Monte Carlo 2:1 (Lower Total Points),static,38,48.0,46.0,2.0,Ollie Watkins,2,4.0,630.0
Hybrid ARIMA 1:2 (Higher Total Points),static,27,76.0,69.0,7.0,Bukayo Saka,1,8.0,76.0
Hybrid ARIMA 1:2 (Higher Total Points),static,28,44.0,42.0,2.0,Bukayo Saka,1,2.0,120.0
Hybrid ARIMA 1:2 (Higher Total Points),static,29,8.0,8.0,0.0,,1,3.0,128.0
Hybrid ARIMA 1:2 (Higher Total Points),static,30,56.0,53.0,3.0,Bukayo Saka,1,4.0,184.0
Hybrid ARIMA 1:2 (Higher Total Points),static,31,43.0,42.0,1.0,Mohamed Salah,1,0.0,227.0
Hybrid ARIMA 1:2 (Higher Total Points),static,32,73.0,63.0,10.0,Bukayo Saka,2,5.0,300.0
Hybrid ARIMA 1:2 (Higher Total Points),static,33,24.0,22.0,2.0,Bukayo Saka,2,2.0,324.0
Hybrid ARIMA 1:2 (Higher Total Points),static,34,107.0,98.0,9.0,Bukayo Saka,2,9.0,431.0
Hybrid ARIMA 1:2 (Higher Total Points),static,35,55.0,43.0,12.0,Bukayo Saka,2,4.0,486.0
Hybrid ARIMA 1:2 (Higher Total Points),static,36,78.0,68.0,10.0,Bukayo Saka,1,11.0,564.0
Hybrid ARIMA 1:2 (Higher Total Points),static,37,60.0,58.0,2.0,Bukayo Saka,0,0.0,624.0
Hybrid ARIMA 1:2 (Higher Total Points),static,38,45.0,39.0,6.0,Mohamed Salah,1,2.0,669.0
Hybrid ARIMA 2:1 (Lower Total Points),static,27,74.0,67.0,7.0,Bukayo Saka,1,8.0,74.0
Hybrid ARIMA 2:1 (Lower Total Points),static,28,29.0,27.0,2.0,Bukayo Saka,1,2.0,103.0
Hybrid ARIMA 2:1 (Lower Total Points),static,29,9.0,9.0,0.0,,2,5.0,112.0
Hybrid ARIMA 2:1 (Lower Total Points),static,30,55.0,52.0,3.0,Bukayo Saka,2,6.0,167.0
Hybrid ARIMA 2:1 (Lower Total Points),static,31,48.0,47.0,1.0,Mohamed Salah,2,1.0,215.0
Hybrid ARIMA 2:1 (Lower Total Points),static,32,67.0,57.0,10.0,Bukayo Saka,2,2.0,282.0
Hybrid ARIMA 2:1 (Lower Total Points),static,33,28.0,26.0,2.0,Bukayo Saka,2,2.0,310.0
Hybrid ARIMA 2:1 (Lower Total Points),static,34,104.0,95.0,9.0,Bukayo Saka,0,0.0,414.0
Hybrid ARIMA 2:1 (Lower Total Points),static,35,59.0,47.0,12.0,Bukayo Saka,1,3.0,473.0
Hybrid ARIMA 2:1 (Lower Total Points),static,36,65.0,55.0,10.0,Bukayo Saka,0,0.0,538.0
Hybrid ARIMA 2:1 (Lower Total Points),static,37,62.0,60.0,2.0,Bukayo Saka,0,0.0,600.0
Hybrid ARIMA 2:1 (Lower Total Points),static,38,39.0,33.0,6.0,Mohamed Salah,2,4.0,639.0
Hybrid ICT Score 1:2 (Higher Total Points),static,27,73.0,60.0,13.0,Ollie Watkins,1,1.0,73.0
Hybrid ICT Score 1:2 (Higher Total Points),static,28,28.0,26.0,2.0,Ollie Watkins,1,1.0,101.0
Hybrid ICT Score 1:2 (Higher Total Points),static,29,6.0,4.0,2.0,Ollie Watkins,0,0.0,107.0
Hybrid ICT Score 1:2 (Higher Total Points),static,30,52.0,51.0,1.0,Ollie Watkins,2,5.0,159.0
Hybrid ICT Score 1:2 (Higher Total Points),static,31,50.0,50.0,0.0,,3,4.0,209.0
Hybrid ICT Score 1:2 (Higher Total Points),static,32,75.0,62.0,13.0,Ollie Watkins,2,7.0,284.0
Hybrid ICT Score 1:2 (Higher Total Points),static,33,32.0,25.0,7.0,Ollie Watkins,3,1.0,316.0
Hybrid ICT Score 1:2 (Higher Total Points),static,34,130.0,121.0,9.0,Ollie Watkins,2,26.0,446.0
Hybrid ICT Score 1:2 (Higher Total Points),static,35,52.0,50.0,2.0,Ollie Watkins,1,6.0,498.0
Hybrid ICT Score 1:2 (Higher Total Points),static,36,62.0,60.0,2.0,Ollie Watkins,1,5.0,560.0
Hybrid ICT Score 1:2 (Higher Total Points),static,37,65.0,60.0,5.0,Ollie Watkins,0,0.0,625.0
Hybrid ICT Score 1:2 (Higher Total Points),static,38,33.0,31.0,2.0,Ollie Watkins,2,2.0,658.0
Hybrid ICT Score 2:1 (Lower Total Points),static,27,73.0,60.0,13.0,Ollie Watkins,1,1.0,73.0
Hybrid ICT Score 2:1 (Lower Total Points),static,28,28.0,26.0,2.0,Ollie Watkins,1,1.0,101.0
Hybrid ICT Score 2:1 (Lower Total Points),static,29,6.0,4.0,2.0,Ollie Watkins,0,0.0,107.0
Hybrid ICT Score 2:1 (Lower Total Points),static,30,52.0,51.0,1.0,Ollie Watkins,2,5.0,159.0
Hybrid ICT Score 2:1 (Lower Total Points),static,31,50.0,50.0,0.0,,3,4.0,209.0
Hybrid ICT Score 2:1 (Lower Total Points),static,32,75.0,62.0,13.0,Ollie Watkins,2,7.0,284.0
Hybrid ICT Score 2:1 (Lower Total Points),static,33,32.0,25.0,7.0,Ollie Watkins,3,1.0,316.0
Hybrid ICT Score 2:1 (Lower Total Points),static,34,130.0,121.0,9.0,Ollie Watkins,2,26.0,446.0
Hybrid ICT Score 2:1 (Lower Total Points),static,35,52.0,50.0,2.0,Ollie Watkins,1,6.0,498.0
Hybrid ICT Score 2:1 (Lower Total Points),static,36,62.0,60.0,2.0,Ollie Watkins,1,5.0,560.0
Hybrid ICT Score 2:1 (Lower Total Points),static,37,65.0,60.0,5.0,Ollie Watkins,0,0.0,625.0
Hybrid ICT Score 2:1 (Lower Total Points),static,38,33.0,31.0,2.0,Ollie Watkins,2,2.0,658.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,27,56.0,55.0,1.0,Daniel Muñoz,2,11.0,56.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,28,51.0,47.0,4.0,Daniel Muñoz,2,4.0,107.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,29,14.0,14.0,0.0,,1,13.0,121.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,30,42.0,40.0,2.0,Daniel Muñoz,0,0.0,163.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,31,79.0,77.0,2.0,Daniel Muñoz,1,2.0,242.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,32,37.0,37.0,0.0,Daniel Muñoz,1,2.0,279.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,33,52.0,46.0,6.0,Daniel Muñoz,1,2.0,331.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,34,92.0,85.0,7.0,Daniel Muñoz,2,11.0,423.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,35,51.0,49.0,2.0,Daniel Muñoz,2,8.0,474.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,36,81.0,68.0,13.0,Daniel Muñoz,1,2.0,555.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,37,62.0,61.0,1.0,Daniel Muñoz,2,4.0,617.0
Hybrid Linear Regression 1:2 (Higher Total Points),static,38,61.0,51.0,10.0,Daniel Muñoz,2,7.0,678.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,27,58.0,57.0,1.0,Daniel Muñoz,2,11.0,58.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,28,52.0,48.0,4.0,Daniel Muñoz,2,4.0,110.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,29,16.0,16.0,0.0,,1,13.0,126.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,30,41.0,39.0,2.0,Daniel Muñoz,0,0.0,167.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,31,78.0,76.0,2.0,Daniel Muñoz,1,2.0,245.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,32,31.0,31.0,0.0,Daniel Muñoz,1,2.0,276.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,33,55.0,49.0,6.0,Daniel Muñoz,1,2.0,331.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,34,75.0,68.0,7.0,Daniel Muñoz,2,11.0,406.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,35,43.0,41.0,2.0,Daniel Muñoz,2,8.0,449.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,36,81.0,68.0,13.0,Daniel Muñoz,1,2.0,530.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,37,56.0,55.0,1.0,Daniel Muñoz,2,4.0,586.0
Hybrid Linear Regression 2:1 (Lower Total Points),static,38,60.0,50.0,10.0,Daniel Muñoz,2,7.0,646.0
Simple Avg. (Budget = 55),static,27,57.0,53.0,4.0,Douglas Luiz Soares de Paulo,0,0.0,57.0
Simple Avg. (Budget = 55),static,28,38.0,36.0,2.0,Douglas Luiz Soares de Paulo,0,0.0,95.0
Simple Avg. (Budget = 55),static,29,6.0,5.0,1.0,Douglas Luiz Soares de Paulo,1,2.0,101.0
Simple Avg. (Budget = 55),static,30,49.0,46.0,3.0,Douglas Luiz Soares de Paulo,1,1.0,150.0
Simple Avg. (Budget = 55),static,31,37.0,36.0,1.0,Douglas Luiz Soares de Paulo,0,0.0,187.0
Simple Avg. (Budget = 55),static,32,57.0,56.0,1.0,Douglas Luiz Soares de Paulo,1,13.0,244.0
Simple Avg. (Budget = 55),static,33,95.0,69.0,26.0,Cole Palmer,2,17.0,339.0
Simple Avg. (Budget = 55),static,34,65.0,65.0,0.0,,1,9.0,404.0
Simple Avg. (Budget = 55),static,35,54.0,53.0,1.0,Douglas Luiz Soares de Paulo,1,2.0,458.0
Simple Avg. (Budget = 55),static,36,75.0,73.0,2.0,Douglas Luiz Soares de Paulo,2,23.0,533.0
Simple Avg. (Budget = 55),static,37,57.0,55.0,2.0,Douglas Luiz Soares de Paulo,2,7.0,590.0
Simple Avg. (Budget = 55),static,38,27.0,26.0,1.0,Douglas Luiz Soares de Paulo,2,4.0,617.0
Simple Avg. (Budget = 60),static,27,78.0,65.0,13.0,Ollie Watkins,1,7.0,78.0
Simple Avg. (Budget = 60),static,28,39.0,37.0,2.0,Ollie Watkins,1,2.0,117.0
Simple Avg. (Budget = 60),static,29,7.0,5.0,2.0,Ollie Watkins,0,0.0,124.0
Simple Avg. (Budget = 60),static,30,49.0,48.0,1.0,Ollie Watkins,2,10.0,173.0
Simple Avg. (Budget = 60),static,31,37.0,36.0,1.0,Douglas Luiz Soares de Paulo,1,7.0,210.0
Simple Avg. (Budget = 60),static,32,62.0,49.0,13.0,Ollie Watkins,0,0.0,272.0
Simple Avg. (Budget = 60),static,33,79.0,72.0,7.0,Ollie Watkins,1,2.0,351.0
Simple Avg. (Budget = 60),static,34,77.0,68.0,9.0,Ollie Watkins,2,23.0,428.0
Simple Avg. (Budget = 60),static,35,58.0,56.0,2.0,Ollie Watkins,1,1.0,486.0
Simple Avg. (Budget = 60),static,36,52.0,50.0,2.0,Ollie Watkins,1,6.0,538.0
Simple Avg. (Budget = 60),static,37,66.0,61.0,5.0,Ollie Watkins,2,11.0,604.0
Simple Avg. (Budget = 60),static,38,26.0,24.0,2.0,Ollie Watkins,2,3.0,630.0
Simple Avg. (Budget = 65),static,27,69.0,56.0,13.0,Ollie Watkins,1,1.0,69.0
Simple Avg. (Budget = 65),static,28,31.0,29.0,2.0,Ollie Watkins,1,1.0,100.0
Simple Avg. (Budget = 65),static,29,7.0,5.0,2.0,Ollie Watkins,0,0.0,107.0
Simple Avg. (Budget = 65),static,30,50.0,49.0,1.0,Ollie Watkins,1,7.0,157.0
Simple Avg. (Budget = 65),static,31,37.0,37.0,0.0,,1,1.0,194.0
Simple Avg. (Budget = 65),static,32,74.0,61.0,13.0,Ollie Watkins,0,0.0,268.0
Simple Avg. (Budget = 65),static,33,80.0,73.0,7.0,Ollie Watkins,1,2.0,348.0
Simple Avg. (Budget = 65),static,34,86.0,77.0,9.0,Ollie Watkins,2,13.0,434.0
Simple Avg. (Budget = 65),static,35,66.0,64.0,2.0,Ollie Watkins,1,1.0,500.0
Simple Avg. (Budget = 65),static,36,51.0,49.0,2.0,Ollie Watkins,1,0.0,551.0
Simple Avg. (Budget = 65),static,37,62.0,57.0,5.0,Ollie Watkins,1,2.0,613.0
Simple Avg. (Budget = 65),static,38,37.0,35.0,2.0,Ollie Watkins,3,13.0,650.0
Simple Avg. (Budget = 70),static,27,72.0,59.0,13.0,Ollie Watkins,0,0.0,72.0
Simple Avg. (Budget = 70),static,28,36.0,34.0,2.0,Ollie Watkins,0,0.0,108.0
Simple Avg. (Budget = 70),static,29,7.0,5.0,2.0,Ollie Watkins,0,0.0,115.0
Simple Avg. (Budget = 70),static,30,63.0,62.0,1.0,Ollie Watkins,0,0.0,178.0
Simple Avg. (Budget = 70),static,31,46.0,46.0,0.0,,1,2.0,224.0
Simple Avg. (Budget = 70),static,32,69.0,56.0,13.0,Ollie Watkins,0,0.0,293.0
Simple Avg. (Budget = 70),static,33,78.0,71.0,7.0,Ollie Watkins,2,6.0,371.0
Simple Avg. (Budget = 70),static,34,87.0,78.0,9.0,Ollie Watkins,2,16.0,458.0
Simple Avg. (Budget = 70),static,35,64.0,62.0,2.0,Ollie Watkins,1,1.0,522.0
Simple Avg. (Budget = 70),static,36,53.0,51.0,2.0,Ollie Watkins,1,0.0,575.0
Simple Avg. (Budget = 70),static,37,65.0,60.0,5.0,Ollie Watkins,1,2.0,640.0
Simple Avg. (Budget = 70),static,38,25.0,23.0,2.0,Ollie Watkins,2,7.0,665.0
Simple Avg. (Budget = 75),static,27,79.0,66.0,13.0,Ollie Watkins,0,0.0,79.0
Simple Avg. (Budget = 75),static,28,37.0,35.0,2.0,Ollie Watkins,1,1.0,116.0
Simple Avg. (Budget = 75),static,29,7.0,5.0,2.0,Ollie Watkins,0,0.0,123.0
Simple Avg. (Budget = 75),static,30,58.0,57.0,1.0,Ollie Watkins,0,0.0,181.0
Simple Avg. (Budget = 75),static,31,66.0,66.0,0.0,,2,4.0,247.0
Simple Avg. (Budget = 75),static,32,68.0,55.0,13.0,Ollie Watkins,2,10.0,315.0
Simple Avg. (Budget = 75),static,33,61.0,54.0,7.0,Ollie Watkins,3,5.0,376.0
Simple Avg. (Budget = 75),static,34,102.0,93.0,9.0,Ollie Watkins,3,23.0,478.0
Simple Avg. (Budget = 75),static,35,56.0,54.0,2.0,Ollie Watkins,2,3.0,534.0
Simple Avg. (Budget = 75),static,36,52.0,50.0,2.0,Ollie Watkins,1,0.0,586.0
Simple Avg. (Budget = 75),static,37,68.0,63.0,5.0,Ollie Watkins,0,0.0,654.0
Simple Avg. (Budget = 75),static,38,40.0,38.0,2.0,Ollie Watkins,1,6.0,694.0
Simple Avg. (Budget = 80),static,27,82.0,69.0,13.0,Ollie Watkins,1,8.0,82.0
Simple Avg. (Budget = 80),static,28,42.0,40.0,2.0,Ollie Watkins,1,7.0,124.0
Simple Avg. (Budget = 80),static,29,8.0,6.0,2.0,Ollie Watkins,2,3.0,132.0
Simple Avg. (Budget = 80),static,30,57.0,56.0,1.0,Ollie Watkins,1,2.0,189.0
Simple Avg. (Budget = 80),static,31,64.0,64.0,0.0,,3,6.0,253.0
Simple Avg. (Budget = 80),static,32,84.0,71.0,13.0,Ollie Watkins,2,19.0,337.0
Simple Avg. (Budget = 80),static,33,59.0,52.0,7.0,Ollie Watkins,3,1.0,396.0
Simple Avg. (Budget = 80),static,34,91.0,82.0,9.0,Ollie Watkins,2,9.0,487.0
Simple Avg. (Budget = 80),static,35,50.0,48.0,2.0,Ollie Watkins,2,9.0,537.0
Simple Avg. (Budget = 80),static,36,63.0,61.0,2.0,Ollie Watkins,1,0.0,600.0
Simple Avg. (Budget = 80),static,37,68.0,63.0,5.0,Ollie Watkins,0,0.0,668.0
Simple Avg. (Budget = 80),static,38,45.0,43.0,2.0,Ollie Watkins,1,5.0,713.0
Weighted Avg. (Budget = 60),static,27,53.0,46.0,7.0,Bukayo Saka,0,0.0,53.0
Weighted Avg. (Budget = 60),static,28,42.0,40.0,2.0,Bukayo Saka,1,2.0,95.0
Weighted Avg. (Budget = 60),static,29,9.0,9.0,0.0,,1,2.0,104.0
Weighted Avg. (Budget = 60),static,30,43.0,40.0,3.0,Bukayo Saka,0,0.0,147.0
Weighted Avg. (Budget = 60),static,31,62.0,42.0,20.0,Cole Palmer,1,2.0,209.0
Weighted Avg. (Budget = 60),static,32,66.0,56.0,10.0,Bukayo Saka,0,0.0,275.0
Weighted Avg. (Budget = 60),static,33,49.0,47.0,2.0,Bukayo Saka,1,7.0,324.0
Weighted Avg. (Budget = 60),static,34,102.0,93.0,9.0,Bukayo Saka,3,19.0,426.0
