series,policy,GW,weekly_points,base_points,captain_bonus,captain_used,autosubs_used,substitute_points,cumulative_points
Robust Simple Avg.,static,37,53.0,51.0,2.0,Bukayo Saka,1,2.0,507.0
Robust Simple Avg.,static,38,37.0,34.0,3.0,Adam Wharton,2,4.0,544.0
Robust Weighted Avg.,static,27,79.0,72.0,7.0,Bukayo Saka,1,8.0,79.0
Robust Weighted Avg.,static,28,42.0,40.0,2.0,Bukayo Saka,1,2.0,121.0
Robust Weighted Avg.,static,29,17.0,17.0,0.0,,1,3.0,138.0
Robust Weighted Avg.,static,30,33.0,30.0,3.0,Bukayo Saka,0,0.0,171.0
Robust Weighted Avg.,static,31,43.0,41.0,2.0,Adam Wharton,1,0.0,214.0
Robust Weighted Avg.,static,32,70.0,60.0,10.0,Bukayo Saka,1,1.0,284.0
Robust Weighted Avg.,static,33,33.0,31.0,2.0,Bukayo Saka,1,1.0,317.0
Robust Weighted Avg.,static,34,98.0,89.0,9.0,Bukayo Saka,1,6.0,415.0
Robust Weighted Avg.,static,35,56.0,44.0,12.0,Bukayo Saka,1,2.0,471.0
Robust Weighted Avg.,static,36,51.0,41.0,10.0,Bukayo Saka,0,0.0,522.0
Robust Weighted Avg.,static,37,62.0,60.0,2.0,Bukayo Saka,0,0.0,584.0
Robust Weighted Avg.,static,38,46.0,43.0,3.0,Adam Wharton,1,1.0,630.0
Robust Exponential Smoothing,static,27,39.0,38.0,1.0,Chris Richards,1,8.0,39.0
Robust Exponential Smoothing,static,28,27.0,25.0,2.0,Chris Richards,2,4.0,66.0
Robust Exponential Smoothing,static,29,15.0,15.0,0.0,,1,13.0,81.0
Robust Exponential Smoothing,static,30,51.0,49.0,2.0,Chris Richards,3,18.0,132.0
Robust Exponential Smoothing,static,31,27.0,25.0,2.0,Daniel Muñoz,3,4.0,159.0
Robust Exponential Smoothing,static,32,35.0,35.0,0.0,Daniel Muñoz,4,8.0,194.0
Robust Exponential Smoothing,static,33,29.0,23.0,6.0,Daniel Muñoz,3,4.0,223.0
Robust Exponential Smoothing,static,34,58.0,52.0,6.0,Chris Richards,1,5.0,281.0
Robust Exponential Smoothing,static,35,42.0,40.0,2.0,Chris Richards,2,8.0,323.0
Robust Exponential Smoothing,static,36,63.0,52.0,11.0,Chris Richards,2,4.0,386.0
Robust Exponential Smoothing,static,37,31.0,29.0,2.0,Chris Richards,2,4.0,417.0
Robust Exponential Smoothing,static,38,42.0,36.0,6.0,Chris Richards,4,6.0,459.0
"ARIMA (0,0,1)",static,27,76.0,69.0,7.0,Bukayo Saka,1,8.0,76.0
"ARIMA (0,0,1)",static,28,44.0,42.0,2.0,Bukayo Saka,1,2.0,120.0
"ARIMA (0,0,1)",static,29,10.0,8.0,2.0,Ollie Watkins,1,3.0,130.0
"ARIMA (0,0,1)",static,30,56.0,53.0,3.0,Bukayo Saka,1,4.0,186.0
"ARIMA (0,0,1)",static,31,42.0,42.0,0.0,,1,0.0,228.0
"ARIMA (0,0,1)",static,32,73.0,63.0,10.0,Bukayo Saka,2,5.0,301.0
"ARIMA (0,0,1)",static,33,24.0,22.0,2.0,Bukayo Saka,2,2.0,325.0
"ARIMA (0,0,1)",static,34,107.0,98.0,9.0,Bukayo Saka,2,9.0,432.0
"ARIMA (0,0,1)",static,35,55.0,43.0,12.0,Bukayo Saka,2,4.0,487.0
"ARIMA (0,0,1)",static,36,78.0,68.0,10.0,Bukayo Saka,1,11.0,565.0
